sensor_1R,sensor_2R,sensor_3R,sensor_4R,sensor_5R,sensor_1L,sensor_3L,sensor_4L,sensor_5L,acel1,giro1,acel2,giro2,gesto
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.56,1.0,-8.07,-0.19,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.76,0.59,-9.17,-0.68,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.86,-0.09,-9.68,-0.52,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.37,-0.73,-9.86,-0.29,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.74,-1.1,-8.92,0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.14,-0.72,-8.37,0.09,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15,0.12,-8.12,-0.11,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.91,0.58,-8.06,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.93,0.38,-8.37,-0.11,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15,-0.16,-8.66,0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.11,-0.54,-8.99,0.41,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.26,-0.63,-9.28,0.62,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.21,-0.5,-9.43,0.56,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-0.29,-9.45,0.35,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.67,-0.19,-9.51,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77,-0.33,-9.0,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.27,-0.53,-8.63,-0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.94,-0.47,-8.66,0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.21,-0.37,-9.22,0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.99,-0.45,-9.98,0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.14,-0.54,-9.79,-0.24,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.85,-0.34,-9.38,-0.44,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.65,-0.02,-8.85,-0.41,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.48,0.19,-8.77,-0.33,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,0.19,-8.8,-0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.72,0.11,-8.94,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.03,0.03,-9.73,0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.98,-0.02,-9.6,0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,-0.01,-9.08,0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.16,0.05,-8.55,-0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.37,0.09,-8.44,-0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2,0.04,-8.54,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.09,-0.11,-8.64,0.2,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.14,-0.17,-8.7,0.23,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.32,-0.16,-9.13,0.32,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-0.17,-9.53,0.43,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.34,-0.19,-9.84,0.41,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.38,-0.21,-9.54,0.28,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76,0.35,-9.45,0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.95,0.23,-9.3,-0.21,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.67,-0.27,-8.92,-0.51,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,-0.37,-8.8,-0.59,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96,-0.38,-8.89,-0.41,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,-0.38,-8.87,-0.22,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6,-0.34,-9.32,-0.09,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.48,-0.29,-8.68,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.84,-0.12,-8.44,0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.63,0.09,-8.3,0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.1,0.25,-8.77,0.22,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.97,0.25,-9.44,0.26,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.18,0.06,-10.1,0.23,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.01,-0.18,-9.71,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8,-0.25,-9.11,-0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.04,-0.27,-9.21,-0.32,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.01,-0.34,-10.43,-0.22,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.07,-0.41,-9.81,-0.0,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38,-0.05,-7.75,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.22,0.56,-7.9,-0.44,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.4,0.65,-9.05,-0.28,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.63,0.35,-9.65,0.18,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.78,0.32,-9.57,0.28,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.12,0.4,-9.01,0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.08,0.26,-9.15,0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-0.08,-9.19,0.24,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.47,-0.22,-9.17,0.15,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,-0.19,-9.09,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.53,-0.2,-8.8,0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.37,-0.16,-8.65,-0.0,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.69,-0.05,-8.77,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.13,0.05,-8.83,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.11,0.11,-8.73,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.03,0.08,-8.8,-0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.17,0.04,-9.06,-0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.02,-0.02,-9.32,0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.94,-0.06,-9.29,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.86,-0.05,-9.26,0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.51,-0.0,-8.79,-0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.31,0.06,-8.32,-0.11,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,0.05,-8.12,-0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.79,-0.04,-8.49,-0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.54,-0.09,-9.69,0.15,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.22,-0.17,-10.79,0.36,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.16,-0.24,-9.44,0.38,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.77,-0.02,-8.18,0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.87,0.17,-8.36,-0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.69,0.04,-9.32,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.33,-0.14,-9.91,0.09,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.62,-0.18,-9.97,0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.14,-0.09,-9.36,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.85,-0.08,-8.95,-0.19,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.76,-0.17,-8.83,-0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.01,-0.25,-8.68,-0.3,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.31,-0.2,-8.71,-0.29,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.19,-0.06,-8.83,-0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.74,0.07,-8.94,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.49,0.08,-9.17,0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,0.03,-9.16,0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.61,0.08,-9.22,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.54,0.12,-9.11,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.55,0.08,-9.04,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.39,0.04,-9.09,0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.35,0.05,-9.18,0.18,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.46,0.05,-9.06,0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.68,0.1,-9.06,0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.79,0.15,-9.09,0.25,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.17,0.15,-9.2,0.23,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.1,-9.4,0.2,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.77,0.07,-9.48,0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.58,0.05,-9.45,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.65,-0.03,-9.23,-0.13,Oi
